model;dataset;TR-TS-SupportVectorMachine-Accuracy-mean;TR-TS-RandomForest-Accuracy-mean;TR-TS-KNN-Accuracy-mean;TR-TS-DecisionTree-Accuracy-mean;TR-TS-NaiveBayes-Accuracy-mean;TR-TS-GradientBoosting-Accuracy-mean;TR-TS-StochasticGradientDescent-Accuracy-mean;TS-TR-SupportVectorMachine-Accuracy-mean;TS-TR-RandomForest-Accuracy-mean;TS-TR-KNN-Accuracy-mean;TS-TR-DecisionTree-Accuracy-mean;TS-TR-NaiveBayes-Accuracy-mean;TS-TR-GradientBoosting-Accuracy-mean;TS-TR-StochasticGradientDescent-Accuracy-mean;TR-TS-SupportVectorMachine-Precision-mean;TR-TS-RandomForest-Precision-mean;TR-TS-KNN-Precision-mean;TR-TS-DecisionTree-Precision-mean;TR-TS-NaiveBayes-Precision-mean;TR-TS-GradientBoosting-Precision-mean;TR-TS-StochasticGradientDescent-Precision-mean;TS-TR-SupportVectorMachine-Precision-mean;TS-TR-RandomForest-Precision-mean;TS-TR-KNN-Precision-mean;TS-TR-DecisionTree-Precision-mean;TS-TR-NaiveBayes-Precision-mean;TS-TR-GradientBoosting-Precision-mean;TS-TR-StochasticGradientDescent-Precision-mean;TR-TS-SupportVectorMachine-Recall-mean;TR-TS-RandomForest-Recall-mean;TR-TS-KNN-Recall-mean;TR-TS-DecisionTree-Recall-mean;TR-TS-NaiveBayes-Recall-mean;TR-TS-GradientBoosting-Recall-mean;TR-TS-StochasticGradientDescent-Recall-mean;TS-TR-SupportVectorMachine-Recall-mean;TS-TR-RandomForest-Recall-mean;TS-TR-KNN-Recall-mean;TS-TR-DecisionTree-Recall-mean;TS-TR-NaiveBayes-Recall-mean;TS-TR-GradientBoosting-Recall-mean;TS-TR-StochasticGradientDescent-Recall-mean;TR-TS-SupportVectorMachine-F1Score-mean;TR-TS-RandomForest-F1Score-mean;TR-TS-KNN-F1Score-mean;TR-TS-DecisionTree-F1Score-mean;TR-TS-NaiveBayes-F1Score-mean;TR-TS-GradientBoosting-F1Score-mean;TR-TS-StochasticGradientDescent-F1Score-mean;TS-TR-SupportVectorMachine-F1Score-mean;TS-TR-RandomForest-F1Score-mean;TS-TR-KNN-F1Score-mean;TS-TR-DecisionTree-F1Score-mean;TS-TR-NaiveBayes-F1Score-mean;TS-TR-GradientBoosting-F1Score-mean;TS-TR-StochasticGradientDescent-F1Score-mean
quantized;androcrawl;0,9366273352999016;0,9744837758112095;0,9371681415929203;0,7248279252704031;0,8616519174041297;0,8730088495575222;0,8987217305801376;0,8672074729596853;0,8668141592920355;0,8071288102261555;0,80929203539823;0,8002949852507374;0,8301376597836775;0,802802359882006;0,9266254078105292;0,9744639367580525;0,9628033782218315;0,6341133610355518;0,8026826087907784;0,893400431397698;0,8581795658998315;0,9220389144439902;0,9051985781795135;0,8741852738522524;0,8974304055845128;0,7994495702737473;0,9125207152331898;0,881791556944116;0,9503082938566809;0,9762215796403556;0,9144551947735422;0,6655630178236862;1,0;0,8494147636275843;0,9753428251106049;0,8164329071235796;0,8524390615224909;0,7757546939243285;0,8004129728703753;0,8712814342924968;0,8010492297801193;0,7901563550100703;0,9367108905267539;0,9745562680675904;0,9325299198880919;0,6477213518615395;0,8856464607107831;0,8497380171359824;0,9095602715790572;0,8592900686896844;0,8677235117806669;0,8027429146984227;0,8184940455729922;0,8217518491690063;0,8314203292154738;0,809842181185088
quantized;adroit;0,5065775570357252;0,5548491595973597;0,534221542028688;0,555139525233469;0,7080081024311571;0,6888515638034369;0,633273228181402;0,7422454728628448;0,7302546020012234;0,749114785867375;0,6843187583687335;0,757019148089683;0,7655211394738981;0,7731102170202389;0,2;0,6842696629213483;0,49803545268694105;0,5492193125422502;0,7665642898412977;0,6392882703586172;0,7243593168065152;0,760475133019415;0,7379760593189488;0,7954970132109269;0,6623189234992765;0,7913953352908135;0,77939799682675;0,8400020535707012;0,013412816691505217;0,13908368989909542;0,20221499373610144;0,523340727710776;0,5778908724832039;0,5607210832956004;0,5178299051832262;0,7916345486164175;0,8159455416245441;0,773719361743737;0,8634929076984076;0,7886258403176;0,7892010278707285;0,7599258074368487;0,025139664804469275;0,2285663830766457;0,27118680873494566;0,5111211563186461;0,6452467813741294;0,5932934317800446;0,5860072519590904;0,7601679409964472;0,7581272089108897;0,7628081815130802;0,7389665369618965;0,7719847546462437;0,7738458874632785;0,7768172219290903
quantized;android_permissions;0,4904078060593922;0,4885952537568671;0,5650525889323115;0,46767079927741906;0,5429655256655083;0,45422288785048853;0,46904512944471877;0,5077667286520344;0,5061132898297716;0,4876072509982527;0,49311291731060897;0,5126136354152677;0,4957027069472927;0,5041853248693338;0,44030326459242486;0,4776854378136476;0,5661902521755404;0,4693025454387724;0,4448366338068279;0,45511999140471493;0,46494230068776876;0,5032639502067614;0,5020360663262124;0,4987349522210641;0,4839373232964837;0,5158052785841767;0,4928094640935373;0,4984906022067957;0,34015134217819315;0,48971766019237484;0,5337873815108034;0,4811100575082758;0,46552098367194217;0,5549537089995454;0,4765391493420494;0,7388181071541677;0,724544171921482;0,5782949768280183;0,6604961818724663;0,8120948139132276;0,7116644894133688;0,6387539315538009;0,3615440115601223;0,4637942214485717;0,5474195242471238;0,47096334198962797;0,4478063512659599;0,48656454981358505;0,4385603877232123;0,5854493845245061;0,5640860960067052;0,48406538703507174;0,5203508774543307;0,6096818238663173;0,562818457909198;0,5183611626514943
quantized;drebin215;0,9066606660666068;0,8596759675967597;0,9176417641764176;0,603060306030603;0,5571557155715572;0,8615661566156614;0,8090009000900089;0,7954095409540953;0,7852385238523852;0,7844284428442844;0,6723672367236724;0,7533753375337533;0,6825382538253825;0,724932493249325;1,0;1,0;0,9367846768336964;0,6829302166440423;0,5711491442542787;0,9819883040935672;0,7590695927446494;0,7326557827978303;0,7235969268459088;0,7186420935194604;0,6540345905208711;0,7897971646644991;0,6500139434246016;0,8107374834755982;0,8127649274125617;0,7173778718920962;0,9109711798656115;0,604713962968428;0,12288093941656741;0,7343986478805951;0,6594089572359659;0,9434666123439722;0,9289581358032102;0,9401515524156787;0,7171362952304653;0,7604359556983671;0,8612769164217905;0,6078076620590871;0,8836012351835478;0,8082708848591805;0,9161193613842874;0,6097558763895373;0,19232296839862706;0,825517082102565;0,7008726557896381;0,8228379245609292;0,8120812084614221;0,8135193917650347;0,6783268597385457;0,704216265353519;0,7324500076798339;0,6547357898116317
quantized;kronodroid_emulator;0,7601500000000001;0,7833500000000001;0,7321;0,46369999999999995;0,6321;0,7011999999999999;0,6091;0,6721999999999999;0,6795500000000001;0,63975;0,6089500000000001;0,6403000000000001;0,60565;0,6627;0,7420178840955055;0,7743464587658788;0,7591548367962021;0,4314016342000134;0,42615518709374084;0,7194356894606121;0,6435179194443759;0,7190610429787123;0,7409651396791495;0,7579034139431317;0,6171507528901731;0,6285519739819961;0,6602945425868038;0,6367235836322227;0,8835275380207032;0,889826740127574;0,8029190948479611;0,4323591765045992;0,490880879886299;0,7700684617711785;0,5866721082790668;0,6584355889177465;0,6377655625855428;0,5778060665108945;0,7716614984345096;0,7775986836425817;0,6032564054800911;0,8845792201671866;0,7977385493262166;0,8155807576220295;0,7640147033868481;0,42621604979236916;0,450443170176253;0,7391966973671007;0,5770232932906333;0,6564243070687449;0,6310194810213773;0,5767771881595253;0,6552323732188412;0,6819066614723263;0,5745337190632731;0,7320748542257356
quantized;kronodroid_real;0,7961500000000001;0,8702;0,87035;0,70175;0,5685;0,7988;0,7392000000000001;0,8227;0,78625;0,7657999999999999;0,5857;0,6913;0,57455;0,7886;0,7439594763738577;0,8453862788492333;0,9213162533059904;0,7214973190839001;0,5544963782777497;0,7567119771034456;0,7033513035946687;0,8687329179801087;0,816205196503234;0,9149008539366813;0,6783596546849551;0,7005931366948824;0,6634291419932298;0,898183356489314;0,9501478796120459;0,9347384218633531;0,8141702317635309;0,6881029655323256;0,8655265481194514;0,9521388306168965;0,9035296258455853;0,7708004072598371;0,7894927234288147;0,5938051015522768;0,6226731502973558;0,8469693204813001;0,6780693530189246;0,6722970536347835;0,8296906570273688;0,8822801539225946;0,8632071056599182;0,6927659365701412;0,6714611869547961;0,8367992337647212;0,782654691422587;0,8094193778936092;0,7832530503549139;0,7121458633924469;0,5288516807003754;0,7386614789279373;0,5833319992979951;0,7538268516796207
wasserstein;androcrawl;0,9999016715830875;1,0;0,8971484759095378;0,9328416912487709;0,8183874139626353;0,9983775811209441;0,9187807276302852;0,8974926253687314;0,8865290068829891;0,8553588987217307;0,7983775811209439;0,8710914454277287;0,7833824975417898;0,8458702064896755;0,9998046875;1,0;0,9184798375398898;0,9195050088391279;0,8106359012687282;0,9967915990779476;0,8999352357592525;0,9584757127947359;0,9638807022046276;0,9555333812929601;0,8876588146111308;0,9461732905925568;0,845970879717426;0,9282567122506455;1,0;1,0;0,9328445747800587;1,0;0,99970703125;1,0;1,0;0,8327193891330191;0,8051114385862178;0,752812474866357;0,8030277638205116;0,7920742875256417;0,8293549695269764;0,7768200155449267;0,9999022960429897;1,0;0,9084542814102374;0,949612689044633;0,8757457041196224;0,9983888770550532;0,9386192176952001;0,8889037624633447;0,8738156980941735;0,8368538244029129;0,8131225363095972;0,857835307684885;0,8054015236778307;0,8322039336561534
wasserstein;adroit;0,6550170690075592;0,6515554614407268;0,6679238482697845;0,6359006361306827;0,5000013903326959;0,6888103885659038;0,6045961190467024;0,7385789516463678;0,7612559196088245;0,7611096138297462;0,7504330351604445;0,7602314583092699;0,7491145719700372;0,7672548843457094;0,9733527508090616;0,8415605678402512;0,8749636202371676;0,8452385650842528;0,5000013903326959;0,9696158594016367;0,6974309847071147;0,7553428582028966;0,7823286500633784;0,7828313441222816;0,7377744095064042;0,7883017825922108;0,7517555146863115;0,8011442829037513;0,3234371700375359;0,48152934121312063;0,4529275112129185;0,457117765856888;1,0;0,3947777741462066;0,3779832523540555;0,8011225822544847;0,7891534734478733;0,7809468341334345;0,8055074439556454;0,8027188627668007;0,7970724645919227;0,7759681074954295;0,3988125113873138;0,49897752351117164;0,509600432042291;0,4865939700823854;0,6665876408103607;0,4989849035623827;0,3945010776188552;0,7578970360924926;0,7697164400472009;0,7678705468440465;0,7640582143660521;0,7732796755762715;0,7616269382335439;0,7705635715082308
wasserstein;android_permissions;0,5748591900325708;0,5295250797957289;0,533104268189519;0,5318935733236827;0,5000004855646927;0,5499624673666386;0,57458378380839;0,5214855244819442;0,5246248671335675;0,5180137521025331;0,5300224497800923;0,507987918543488;0,5274894712124627;0,5402682593188589;0,568304861428847;0,5361249583821378;0,5729531109521495;0,5495703974639117;0,5000004855646927;0,537591799267126;0,5681689996162413;0,5362924885068507;0,5523849775068506;0,5110599542101636;0,5431308938672577;0,5509245656439979;0,5496444432282435;0,564441315017767;0,8488598947929491;0,7481427970538325;0,5738294108610178;0,7441664209995629;1,0;0,8774784968843085;0,8489713775131275;0,6473252578185515;0,3959475477979878;0,570316317720313;0,38100578099097987;0,361068550058057;0,40521333907813134;0,5744901416400751;0,6626635271595923;0,5877935509613186;0,5324442636843426;0,5913653855131276;0,6666502832604857;0,6549519643058707;0,6625663563751631;0,5480989131749162;0,4258938581727347;0,4998679122300825;0,43736198601874643;0,38425085172622636;0,43652305390864415;0,5275953977109887
wasserstein;drebin215;0,9922592259225922;0,9966696669666968;0,9504050405040504;0,7598559855985598;0,7049504950495049;0,9855085508550856;0,9353735373537354;0,7761476147614761;0,8179117911791179;0,7915391539153915;0,686048604860486;0,8198019801980199;0,7084608460846085;0,754995499549955;0,9998198198198198;0,9992837958818264;0,9991029640554249;0,9147067188631539;0,7032864890760893;0,9750975936028325;0,9902748124211112;0,754723530085621;0,8171673287520441;0,7779706941703936;0,7155973559320806;0,795837197458021;0,737710942731654;0,8291723915222289;0,9842210206150727;0,9939572603162261;0,8990086346564535;0,6251488826114782;0,9998181818181818;0,998789974070873;0,8771728897642601;0,848404718020593;0,8363235259588819;0,83218262570994;0,6829025677409467;0,8824602461750077;0,6959607305941102;0,6928413302728423;0,9917322807228889;0,9965884990760079;0,9369829556661309;0,6044677759623868;0,803180474967168;0,9862686813889798;0,9079723157469232;0,7907598543496113;0,8210907578520787;0,7962432504727778;0,662846712846376;0,8316035275654838;0,6888841616371048;0,7283884855199219
wasserstein;kronodroid_emulator;0,8050499999999999;0,8581999999999999;0,7900499999999999;0,84365;0,5;0,8269;0,7514000000000001;0,7577499999999999;0,7633;0,7641;0,70605;0,77535;0,7133499999999999;0,7682500000000001;0,9015415718979025;1,0;0,9606332905434318;0,9998986315255955;0,5;1,0;0,8197168909800052;0,8280821458034611;0,8367587182855379;0,8157034911582046;0,7776186146620376;0,821425987092482;0,7411478329148723;0,8235034988072668;0,806602082237972;0,7182265619860168;0,6276176821000874;0,6895647173203796;1,0;0,6533017949327934;0,8388411168470853;0,6739867831675669;0,6669321750756964;0,6902580250832231;0,6433312388108707;0,7067849938212433;0,7036721183518712;0,6914048595363687;0,7950865401615541;0,7840665886467544;0,6712990784114743;0,743865484301923;0,6666526022745077;0,6858908631269267;0,7499556831522389;0,7236718379599043;0,730010697707718;0,7407561590334826;0,6756138601331236;0,751834210778946;0,7045970013957463;0,7475028359107105
wasserstein;kronodroid_real;0,99825;0,99595;0,86255;0,7295;0,5182;0,8916999999999999;0,8522500000000001;0,8023;0,78985;0,7809;0,7454500000000001;0,7977000000000001;0,7735000000000001;0,7976500000000001;0,9984984318300161;0,9998997995991985;0,9010438413361168;0,965876315348653;0,6020096199816478;0,9142284569138276;0,8355122241319446;0,8502072466172874;0,8560011213725716;0,8749637203600583;0,7271932931939922;0,8581359780601716;0,7718829017550712;0,8278816048955135;0,9980089596814334;0,9920358387257341;0,772424924163304;0,45916949708789456;0,8286001003512293;0,9334992533598806;0,9811067914460596;0,7532184367649791;0,716795054696463;0,6851888053661005;0,827222961203889;0,7394189521683072;0,7867214429196144;0,7858469050043863;0,9982470029703212;0,995886911116289;0,8194385932381032;0,5200233230238522;0,5851336186625107;0,9055275662503807;0,8874244764941179;0,7940253882759617;0,7751394716207198;0,7569808905799873;0,766422557177294;0,7873860070120082;0,7723287037550424;0,7952911219331968
tvae;androcrawl;0,9602261553588989;0,9589478859390365;0,9345132743362832;0,9188790560471978;0,6246804326450344;0,9587512291052114;0,9298426745329401;0,9395771878072763;0,9398230088495575;0,9287118977384463;0,9239429695181908;0,8433136676499509;0,9420353982300884;0,8075712881022616;0,9829432439779591;0,981945490097095;0,940741921507837;0,9086035551204219;0,6990659045556462;0,9837223460546527;0,9396541672048944;0,9523611027186917;0,9566582012666718;0,9550875598717485;0,9160513482217238;0,7930990764535542;0,954198019539301;0,994904300482724;0,936565542204657;0,9348927624752561;0,9275526815465508;0,9369744454349591;0,851692006917238;0,9328426843912944;0,9277470206415936;0,9254489888150443;0,9207000312565979;0,8988186409770172;0,9324806692880896;0,9266347724493386;0,927928363045132;0,6168836062248011;0,9591038264876561;0,9577587286632054;0,9340250808954795;0,9214917777242275;0,7070940937766177;0,9575054288880495;0,9305840965168228;0,9383854675634945;0,9382610744377573;0,9260394146204263;0,9241523977346473;0,8546339934179477;0,9407926698762121;0,7445996262687211
tvae;adroit;0,8926338034796819;0,825945640130563;0,8088205914689185;0,6300541801956732;0,5001449154463824;0,8962903784699495;0,6583013556813272;0,8342590810114776;0,8399626535248143;0,8329435054351313;0,8346984261433882;0,7358281249331571;0,8377718100420521;0,7575970986965096;0,9718410465350903;0,8292417360342803;0,7781947748880507;0,6079799705495518;0,2;0,9348320608062831;0,9690522243713733;0,9199219991979011;0,9172512485309292;0,9189683367503843;0,9018620313163161;0,7498912702023788;0,9092418066123807;0,8053931659158836;0,8091368067546038;0,8571232528502506;0,8721330352362149;0,8570183547453357;0,00028169014084507044;0,8550087587806321;0,34943551177063253;0,7449765961593977;0,7616445898117465;0,7443637040805016;0,7650509758433583;0,8336274523572225;0,762768476904001;0,5674906964334093;0,8803304574287688;0,8365202453071262;0,8214302414529394;0,7024258576875548;0,0005625879043600563;0,8890950618132546;0,36412886407177303;0,8227572528761714;0,831162784457246;0,8215700640217319;0,8270793230312812;0,7729793225695308;0,8292217324239285;0,6500778296061582
tvae;android_permissions;0,5089787588207758;0,5305728828810373;0,4963095565959791;0,49873219058717677;0,4999444180165744;0,5238503459269088;0,5179051221764223;0,5200512877706739;0,5619693290027031;0,5374030786318912;0,5543128235359276;0,5190048048143739;0,5636771814183497;0,5563516186374903;0,24823066737707253;0,5305914229922236;0,4985442611307659;0,46283595032188385;0,0;0,6365122307804875;0,3573970854065336;0,5406255418076383;0,5543364948759122;0,5323807230336983;0,5477431556660325;0,5209452667147042;0,5575542864863161;0,5508196470533109;0,21702838063439067;0,5972783843843288;0,4774062836082285;0,3982444571923851;0,0;0,13522235554619313;0,18395537124258904;0,5416865174456085;0,6127390714731258;0,5750454531120285;0,6026346294404903;0,583502051982453;0,6205701627606778;0,635895408476891;0,1654491138456776;0,5272061766784997;0,47695996425759873;0,3779986117942974;0,0;0,18244592761777723;0,15779651875379122;0,44708050730988136;0,578585854874354;0,5473548602027292;0,5687219353550625;0,4494282485132266;0,5776374280260625;0,578849077927518
