model;dataset;TR-TS-SupportVectorMachine-Accuracy-mean;TR-TS-RandomForest-Accuracy-mean;TR-TS-KNN-Accuracy-mean;TR-TS-DecisionTree-Accuracy-mean;TR-TS-NaiveBayes-Accuracy-mean;TR-TS-GradientBoosting-Accuracy-mean;TR-TS-StochasticGradientDescent-Accuracy-mean;TS-TR-SupportVectorMachine-Accuracy-mean;TS-TR-RandomForest-Accuracy-mean;TS-TR-KNN-Accuracy-mean;TS-TR-DecisionTree-Accuracy-mean;TS-TR-NaiveBayes-Accuracy-mean;TS-TR-GradientBoosting-Accuracy-mean;TS-TR-StochasticGradientDescent-Accuracy-mean;TR-TS-SupportVectorMachine-Precision-mean;TR-TS-RandomForest-Precision-mean;TR-TS-KNN-Precision-mean;TR-TS-DecisionTree-Precision-mean;TR-TS-NaiveBayes-Precision-mean;TR-TS-GradientBoosting-Precision-mean;TR-TS-StochasticGradientDescent-Precision-mean;TS-TR-SupportVectorMachine-Precision-mean;TS-TR-RandomForest-Precision-mean;TS-TR-KNN-Precision-mean;TS-TR-DecisionTree-Precision-mean;TS-TR-NaiveBayes-Precision-mean;TS-TR-GradientBoosting-Precision-mean;TS-TR-StochasticGradientDescent-Precision-mean;TR-TS-SupportVectorMachine-Recall-mean;TR-TS-RandomForest-Recall-mean;TR-TS-KNN-Recall-mean;TR-TS-DecisionTree-Recall-mean;TR-TS-NaiveBayes-Recall-mean;TR-TS-GradientBoosting-Recall-mean;TR-TS-StochasticGradientDescent-Recall-mean;TS-TR-SupportVectorMachine-Recall-mean;TS-TR-RandomForest-Recall-mean;TS-TR-KNN-Recall-mean;TS-TR-DecisionTree-Recall-mean;TS-TR-NaiveBayes-Recall-mean;TS-TR-GradientBoosting-Recall-mean;TS-TR-StochasticGradientDescent-Recall-mean;TR-TS-SupportVectorMachine-F1Score-mean;TR-TS-RandomForest-F1Score-mean;TR-TS-KNN-F1Score-mean;TR-TS-DecisionTree-F1Score-mean;TR-TS-NaiveBayes-F1Score-mean;TR-TS-GradientBoosting-F1Score-mean;TR-TS-StochasticGradientDescent-F1Score-mean;TS-TR-SupportVectorMachine-F1Score-mean;TS-TR-RandomForest-F1Score-mean;TS-TR-KNN-F1Score-mean;TS-TR-DecisionTree-F1Score-mean;TS-TR-NaiveBayes-F1Score-mean;TS-TR-GradientBoosting-F1Score-mean;TS-TR-StochasticGradientDescent-F1Score-mean
adversarial;android_permissions;0,5707285063650703;0,5532110013785485;0,5161400034748223;0,5501265123633117;0,5006064399534769;0,571114302687373;0,5582237133104663;0,5824053509229143;0,5608666267593184;0,5516670422206087;0,5497396235204504;0,5117336859746915;0,5818002007506526;0,5798168207196525;0,5630209066143411;0,5490959445809547;0,5163543017737311;0,5485725460117872;0,5003115930284442;0,561722128623755;0,5474750008282573;0,5921638145511043;0,562357679576732;0,5498018203752677;0,5520319362325294;0,5158545984260704;0,5867381510020924;0,5941552296022659;0,6295061509025667;0,5955935681063911;0,4833104737753799;0,5649568623910519;0,9978103347213304;0,643290882025662;0,6938414554410052;0,5293915324621163;0,5500312595160675;0,5712320458756118;0,5257639031613374;0,58389060820348;0,5530091596976303;0,5045386711927039;0,5939184341234994;0,5712111083883713;0,4974724841194111;0,5565251738103095;0,6664345200371575;0,5991144885248213;0,6088924001400791;0,5590152310216394;0,55547540922939;0,5568670918449131;0,537702948953301;0,4563252488381145;0,5691755780386696;0,5429120768899437
adversarial;drebin215;0,7636363636363636;0,736993699369937;0,6882088208820882;0,717911791179118;0,6117911791179118;0,7616561656165617;0,792079207920792;0,9186318631863186;0,8946894689468946;0,8912691269126913;0,8216921692169217;0,7471647164716472;0,9024302430243025;0,9206120612061206;0,960062466344444;0,9341613093283361;0,8816764582716642;0,8591973994316019;0,5640245555026673;0,9399623961507453;0,9166473686172949;0,8893321677280653;0,8520117524072143;0,8541678441422847;0,7950350557535352;0,6922611006686877;0,8638850474526784;0,8897384881228027;0,5496029886787561;0,5093447596042007;0,4348958764034376;0,5212610237643605;0,9875221453723503;0,5587035176317738;0,6454965264314441;0,9572472044107471;0,9556596761441988;0,9453771614810362;0,8667659978658243;0,8907477672313686;0,9564056927215528;0,9605930811352085;0,6983140919433526;0,6582148619256885;0,5820613238246835;0,6467722004041738;0,7178884277610997;0,6993411153241147;0,755047003824979;0,9216628610878544;0,9006722223287319;0,8968864166462922;0,8285762844803829;0,7788297387410789;0,9074359187941339;0,923590768371146
adversarial;kronodroid_emulator;0,76745;0,7589;0,7131000000000001;0,74915;0,5439;0,76445;0,7859499999999999;0,8202;0,8068500000000001;0,7998000000000001;0,76205;0,67265;0,83635;0,81175;0,9463716612035343;0,9355273036633228;0,9306782514761431;0,8978919658543891;0,5747672158280679;0,9371441442507618;0,9208404893559148;0,7594401027429929;0,7393731501188652;0,7459819493226519;0,7367293697357258;0,6286366620794708;0,7934089427543363;0,7840887506034353;0,5668064489750883;0,5560564318721617;0,4602524421132449;0,5621536528586084;0,899880533889973;0,566609756872484;0,6293540568697097;0,9411757050787877;0,9512526149055152;0,9112468120250679;0,8159792253864235;0,8475156839367017;0,9132498210193292;0,8708801638306841;0,7072340821985487;0,6958944755426429;0,6137120015706125;0,6903796687676038;0,6624635597555818;0,7043362270333218;0,7399731179142484;0,8400393949725586;0,8315888471770941;0,8200336295381409;0,7739727119107305;0,7211008674011039;0,8483099356450475;0,8230887550860378
adversarial;kronodroid_real;0,81525;0,7939;0,73295;0,7705500000000001;0,6365000000000001;0,818;0,79925;0,8356;0,8233499999999999;0,8428999999999999;0,7093999999999999;0,69305;0,8243500000000001;0,75365;0,9467553542745801;0,931615258129735;0,9204051743606311;0,8757450558584751;0,8603403521062691;0,9334271142413021;0,9251679448381915;0,7709622265010986;0,7582984003230712;0,8021844938476352;0,6810756685981953;0,6488638453683595;0,7650566891507424;0,7052194541006169;0,6682892532271565;0,6345815940907062;0,5101959052122431;0,6310143789420082;0,37077205659625484;0,6848272488331759;0,6654310999384815;0,9562756490783617;0,9505899442912048;0,9111193465587727;0,7931376338384346;0,8465053863756502;0,9405544180547283;0,9205111873947077;0,7828218717192242;0,7544321540436003;0,6552986500278237;0,7331202483305999;0,45369728627037337;0,7899535072003646;0,7543002957073538;0,853413715486754;0,8434033930237632;0,8530083506047305;0,7318926840102401;0,7341186972261998;0,8430850374537726;0,7920732269751928
variational;androcrawl;1,0;1,0;1,0;1,0;0,9006882989183873;1,0;1,0;0,8449852507374631;0,8373647984267454;0,8424287118977384;0,776991150442478;0,844788593903638;0,8593411996066862;0,8500491642084562;1,0;1,0;1,0;1,0;0,9006882989183873;1,0;1,0;0,955857004031729;0,945619087537187;0,9491486829893228;0,7862020744420035;0,938544559747481;0,9508846369341789;0,910718705018537;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,7267382800687318;0,7191724123967658;0,7235580659666012;0,7715445044637941;0,7392385393393823;0,7595623967605099;0,7762095784590292;1,0;1,0;1,0;1,0;0,933943754087639;1,0;1,0;0,8235603850923795;0,8157134597194095;0,8211339536473675;0,7681587440526414;0,8262120032632565;0,8436355115780954;0,8380879806600113
variational;adroit;1,0;1,0;1,0;1,0;0,5000013903326959;1,0;1,0;0,8253376369477705;0,8259228600640837;0,826069272791831;0,8205098670841944;0,8248988265592047;0,8259230739614214;0,8288487617483113;1,0;1,0;1,0;1,0;0,5000013903326959;1,0;1,0;0,9687527661719402;0,971157895571379;0,9743809717857674;0,9380111865061647;0,9695537847822402;0,9723592299182569;0,956792731504958;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,6723385470322508;0,6717653117019013;0,6696860482792708;0,6938924536419477;0,670841949614263;0,6708780657004739;0,6887333265362662;1,0;1,0;1,0;1,0;0,6665876408103607;1,0;1,0;0,7937060240273432;0,7941109457250363;0,7937202472087754;0,7943845282110109;0,7929107237143098;0,7938805048501782;0,8008972661927849
variational;android_permissions;0,5984850836802466;0,5984850836802466;0,5964467741433765;0,5984850836802466;0,5000004855646927;0,5984850836802466;0,5984850836802466;0,5495736059172127;0,5663183043473973;0,5634024428456216;0,5495736059172127;0,5788251913997389;0,5495736059172127;0,5304088530582609;1,0;1,0;0,7000826218672542;1,0;0,5000004855646927;1,0;1,0;0,5559663957892325;0,5766995187290684;0,5751960811866669;0,5559663957892325;0,594068583231;0,5559663957892325;0,5367414962091266;0,19921153119713692;0,19921153119713692;0,39484442620097926;0,19921153119713692;1,0;0,19921153119713692;0,19921153119713692;0,7002497541813206;0,6001399846972371;0,6005014865927979;0,7002497541813206;0,4982450198894407;0,7002497541813206;0,8001976147405869;0,21631751692115292;0,21631751692115292;0,34108439606670204;0,21631751692115292;0,6666502832604857;0,21631751692115292;0,21631751692115292;0,5933517721793934;0,5691742552162539;0,5679794179743395;0,5933517721793934;0,54188384144968;0,5933517721793934;0,6166510103937445
variational;drebin215;1,0;1,0;0,9999099909990999;1,0;0,5;1,0;1,0;0,7709270927092708;0,7608460846084608;0,7707470747074707;0,7232223222322233;0,771017101710171;0,7945994599459946;0,5912691269126912;1,0;1,0;1,0;1,0;0,5;1,0;1,0;0,7240738586718105;0,7123915839540992;0,7159516520718858;0,6869489776807329;0,7181921402945748;0,7380454583948971;0,857954875569247;1,0;1,0;0,9998203054806829;1,0;1,0;1,0;1,0;0,8756540090691125;0,8759491319508745;0,8979509142269502;0,8113369948195996;0,8922455424052256;0,9130992464460315;0,23013670404501574;1,0;1,0;0,9999101123595505;1,0;0,6665837398066197;1,0;1,0;0,7925940519629219;0,7854892535657075;0,7965821083047093;0,7391414915239205;0,7957327085518866;0,8161415290769028;0,3567204796785971
variational;kronodroid_emulator;0,99985;0,9100999999999999;0,57995;0,81715;0,6003499999999999;0,99985;0,9172;0,7955500000000001;0,799;0,7968499999999998;0,66765;0,7979999999999998;0,8023999999999999;0,79175;1,0;1,0;0,4;0,8;0,6003499999999999;1,0;1,0;0,7823305200690468;0,7760143629405882;0,7810482846981058;0,6653798324316194;0,7821222692705387;0,7895126841234972;0,7669098809552576;0,9997045790251107;0,8178325930387704;0,15839065483500475;0,631466678251803;1,0;0,9997045790251107;0,8320575202015814;0,8202028470956924;0,841675945931368;0,8251865668685989;0,685867118902002;0,8271662071792292;0,8260278943221666;0,8458312542127778;0,9998521803399851;0,848194484570705;0,22048928495334802;0,6552520870616234;0,7336307434391999;0,9998521803399851;0,8555483828716308;0,8003305027832532;0,8072808947074617;0,8024221092220134;0,6711820049292506;0,8036277367955759;0,8068134763161801;0,8020250934085759
variational;kronodroid_real;1,0;1,0;0,8984500000000001;1,0;0,6004499999999999;1,0;0,79985;0,8086;0,8077;0,8082;0,69465;0,8096500000000001;0,8059000000000001;0,8048;1,0;1,0;0,8;1,0;0,2;1,0;0,6;0,8437499428523643;0,8388810451123708;0,8497155595894366;0,6957937560555878;0,842248954967158;0,844510716417848;0,8219743913467747;1,0;1,0;0,8;1,0;0,2;1,0;0,6;0,7575949989933962;0,7626239707053388;0,7495762268108835;0,6934063793029893;0,7622992250018289;0,7507064820229907;0,7785282245148555;1,0;1,0;0,8;1,0;0,2;1,0;0,6;0,798276290225167;0,7983582179045987;0,7961285326109746;0,6901532575056134;0,8001410428825448;0,794282359740788;0,7994578633748705
diffusion;androcrawl;1,0;1,0;1,0;1,0;0,9006882989183873;1,0;1,0;0,8581120943952802;0,8571779744346116;0,8530481809242871;0,8001474926253687;0,8526548672566371;0,8542772861356933;0,842969518190757;1,0;1,0;1,0;1,0;0,9006882989183873;1,0;1,0;0,9380533161917975;0,9545917398472472;0,940107727852111;0,8399556652937472;0,9415188829586079;0,9620508749127122;0,9354496871296764;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,7700008508728222;0,7511360781312887;0,7552108655251614;0,7727421516290722;0,7530714453157812;0,7383565271463906;0,7404781272531434;1,0;1,0;1,0;1,0;0,933943754087639;1,0;1,0;0,8440510295913674;0,83998112483047;0,8367977040767804;0,7885856870677246;0,8362164867647532;0,8348425506068115;0,8235142476085671
diffusion;adroit;1,0;1,0;0,9550841258229699;1,0;0,5000013903326959;1,0;0,9997073884418434;0,8275322236339446;0,8251915450660302;0,8257766612336743;0,8006211578690692;0,8265081901290656;0,8265081901290656;0,8278246212947634;1,0;1,0;0,9396263520157326;1,0;0,5000013903326959;1,0;1,0;0,973101106438724;0,9703048282677059;0,9731669120715283;0,8736277932619659;0,9708678096787129;0,9704653978604096;0,9582071586619595;1,0;1,0;1,0;1,0;1,0;1,0;0,9993975903614458;0,6739029157491505;0,6708780657004739;0,6699775934687752;0,7313364617376573;0,6732877042546909;0,6735857668478354;0,6856347349869705;1,0;1,0;0,9644470179502026;1,0;0,6665876408103607;1,0;0,9996983408748115;0,7960506509054242;0,7931738106531301;0,7935198863934241;0,7870578347978924;0,7949899516582587;0,7950663180714169;0,7992347147524557
diffusion;android_permissions;0,7894098643984726;0,7894098643984726;0,6990080368543603;0,7894098643984726;0,5000004855646927;0,7894098643984726;0,7479887682817005;0,5706165381816968;0,5788251913997389;0,5663183043473973;0,5788251913997389;0,5788251913997389;0,5788251913997389;0,5792107601135918;1,0;1,0;0,7001101928374656;1,0;0,5000004855646927;1,0;0,9000826218672543;0,5910341798261993;0,594068583231;0,5766995187290684;0,594068583231;0,594068583231;0,594068583231;0,5942372747194142;0,5808986087360424;0,5808986087360424;0,6015303788885364;0,5808986087360424;1,0;0,5808986087360424;0,6977945911245949;0,45819917958972667;0,4982450198894407;0,6001399846972371;0,4982450198894407;0,4982450198894407;0,4982450198894407;0,4997817926666087;0,6916396796691775;0,6916396796691775;0,577681814515548;0,6916396796691775;0,6666502832604857;0,6916396796691775;0,7076280829641215;0,5143637974954278;0,54188384144968;0,5691742552162539;0,54188384144968;0,54188384144968;0,54188384144968;0,5428704082851787
diffusion;drebin215;1,0;1,0;0,9513051305130513;1,0;0,5;1,0;1,0;0,7744374437443744;0,7831683168316832;0,7756075607560756;0,6575157515751575;0,7765976597659766;0,7918091809180917;0,7035103510351035;1,0;1,0;1,0;1,0;0,5;1,0;1,0;0,7277906247497367;0,7256879351581956;0,7205152937684806;0,6444509252419122;0,7271347248818386;0,7316537465306315;0,7337861509635186;1,0;1,0;0,9023164868432575;1,0;1,0;1,0;1,0;0,877012510535482;0,9105388205650808;0,9000603618265494;0,707360873331693;0,8855893156118582;0,9222938019379374;0,6473835991803459;1,0;1,0;0,9422459898156248;1,0;0,6665837398066197;1,0;1,0;0,7950879536841426;0,8075169923771732;0,8002269683688521;0,672614482906513;0,798424035782988;0,8158334374243006;0,6454506386255592
diffusion;kronodroid_emulator;0,9993000000000001;0,98655;0,7061499999999999;0,8408000000000001;0,6003000000000001;1,0;0,88095;0,7952;0,7925;0,7929999999999999;0,7082499999999999;0,7874999999999999;0,8008;0,7545499999999999;1,0;1,0;0,8;1,0;0,6003499999999999;1,0;1,0;0,7572474115933258;0,7563407773220151;0,7771893080830088;0,7015882168587145;0,7502737388377672;0,7747854798039283;0,7288714280480658;0,9985811903528475;0,9729999056419883;0,410652189633321;0,6791220961852411;0,9998996487706975;1,0;0,7618925874184242;0,869310985244326;0,8637875605161138;0,8224884815340505;0,7281601483737612;0,8625214909130203;0,8484813611944612;0,8512694531704369;0,9992884024836204;0,9857757063812326;0,49748952371768473;0,7300533393760127;0,7335805552334282;1,0;0,8050441611818571;0,8092880813142529;0,80625660320298;0,7987898336738277;0,7102269586077623;0,8022152587635721;0,8096367419288285;0,7777400307555128
diffusion;kronodroid_real;1,0;1,0;0,9001000000000001;1,0;0,6036499999999999;1,0;0,9048999999999999;0,80275;0,80175;0,78365;0,71605;0,7935999999999999;0,7989;0,7844;1,0;1,0;1,0;1,0;0,4;1,0;1,0;0,8221856778886332;0,8204600630280516;0,8078658997980053;0,7074603839025945;0,8167835747503943;0,8130607771182798;0,7808239847363769;1,0;1,0;0,8032478537555114;1,0;0,20649087221095336;1,0;0,8071017299841896;0,7736502997181393;0,7742578541365275;0,7452597705977904;0,7370871377185817;0,7580477781942973;0,7775716947979605;0,7975463949360363;1,0;1,0;0,8065358185372972;1,0;0,21257367387033396;1,0;0,8139897186667635;0,796633139161289;0,7963740262812985;0,7748707743098794;0,7176843273483765;0,7858832224150863;0,7942066868526279;0,7867040821438838
autoencoder;androcrawl;0,8183382497541789;0,8021140609636184;0,7990658800393313;0,8014749262536872;0,7518682399213373;0,8092428711897739;0,8155850540806293;0,7254178957718781;0,7688790560471978;0,7925762045231071;0,7586037364798426;0,7529498525073747;0,7603736479842674;0,757866273352999;1,0;0,9703557661560384;0,9988713318284426;0,8543013021144077;0,9187119234116624;1,0;1,0;0,6774103869699329;0,7094146084386993;0,7489668518277907;0,7023551085089015;0,6757273627952015;0,6945876678700789;0,7033918135269618;0,6339946715571658;0,6027024722336438;0,5964121508537654;0,6152655999172024;0,6387947912748233;0,6158845111319219;0,6284733576222741;0,9724126457694929;0,9666881950065094;0,9357003324040818;0,9314667931081766;0,9852695448747106;0,9603841765900821;0,9638204859080787;0,6996443520656837;0,6732150549423158;0,6683971219790801;0,6885791730825083;0,651669985982607;0,6882491629869406;0,694916131959795;0,7900326403613389;0,8129831729080923;0,8246767250326659;0,7980409940165695;0,8006110337398773;0,8035973364007643;0,8067848215908613
autoencoder;adroit;0,4999986096673041;0,5029242974541939;0,4978040229811301;0,5023395021325565;0,5004403076699308;0,4999986096673041;0,5013153616790086;0,6059002511154746;0,6158510761175067;0,6635467600970237;0,6221422246178724;0,6436723820035336;0,6184844731922466;0,617167828129211;0,0;0,64;0,2;0,4329411764705883;0,5002689269728865;0,0;0,16;0,5659683432504685;0,5772717242235966;0,6241116577618346;0,5865198701536687;0,6046442415485626;0,5812613100319467;0,5892457095323367;0,0;0,00784792823122261;0,005109451892075343;0,00694722304814874;0,9980281690140845;0,0;0,003498542274052478;0,9512708437036306;0,9202229885966521;0,8891660098913737;0,8965381774925056;0,9160069920449325;0,9081845552117616;0,912759999022895;0,0;0,015455897700890443;0,009642672067660101;0,013635036972303907;0,6663557533237484;0,0;0,0068473609129814554;0,7082689410478908;0,7067990586624803;0,7284673191743286;0,7047696364013024;0,7235723945098137;0,7054826922587902;0,7088681406983348
autoencoder;android_permissions;0,5369604560666377;0,5435705089249068;0,5269891271443561;0,5431848491676738;0,5000004855646927;0,5475385891159157;0,5396068898595126;0,5576733864267978;0,560702854892785;0,5363006646925428;0,5632366073291438;0,5328867807288479;0,5607583610067274;0,5488050025302473;0,5795432752116413;0,5923505702864217;0,5194743672166069;0,5918764278923547;0,5000004855646927;0,5895796226920026;0,5331779787168639;0,5707404290468682;0,5668454032829237;0,5587016026696788;0,5718302352265556;0,5626085034293886;0,5653223901029863;0,5555115240643312;0,45325752468254193;0,3828893570279305;0,5982312853608533;0,3820198883846335;1,0;0,49823638503228135;0,8187739815780051;0,5355418147255767;0,522597129322692;0,37123573454415887;0,5168320015422715;0,3697877329853185;0,5308587859497165;0,5990370340420174;0,4331788693131813;0,41440501683656333;0,5348489608656687;0,41364697710738474;0,6666502832604857;0,46541918853137065;0,6354683316029371;0,5374508019471544;0,5428865748959486;0,4308242995688528;0,5402979760935063;0,3838768432299823;0,5465630815181453;0,5618106278900518
autoencoder;drebin215;0,8105310531053105;0,8349234923492348;0,644014401440144;0,8508550855085508;0,5171017101710171;0,857965796579658;0,8334833483348335;0,5450045004500449;0,8256525652565256;0,7976597659765976;0,6648064806480647;0,7747974797479747;0,7200720072007201;0,8441044104410441;0,9993325917686319;0,9969342508730019;0,9508888283766013;0,9809161361282929;0,5092554618924351;0,9991310910791734;0,9837939622444761;0,7622920412325832;0,8943121181476179;0,8435779573967279;0,6736940873409663;0,8681997538940948;0,725864545738327;0,9061163434356357;0,6215321670143285;0,6733890437842123;0,2944720725609547;0,7195531437708148;1,0;0,7177628146767785;0,68331155335265;0,2834252002654583;0,7543586907810982;0,7778263174011808;0,6188526907500117;0,6447778536395541;0,7528287285162202;0,7747170233591525;0,7300158229111777;0,7897586580362893;0,41223170132260256;0,8206349677048692;0,6745979693876082;0,8266289578690407;0,780321152101639;0,27758549499546004;0,8026190815864762;0,7876320159486563;0,6295512811299526;0,7247709453892792;0,7175081043720216;0,8273254949684441
autoencoder;kronodroid_emulator;0,6376000000000001;0,61615;0,59615;0,6874;0,5193999999999999;0,683;0,63945;0,73385;0,7323500000000001;0,7826500000000001;0,72305;0,6809999999999999;0,7246499999999999;0,7139;0,9985148514851485;0,9945887445887447;0,9789998708496409;0,9116172142829742;0,5889158764310636;0,9998622589531682;0,9645523215962337;0,670355687984213;0,6703028786964331;0,7442325149362695;0,6681766606615029;0,6165280749301537;0,6642168587978582;0,6515306678391065;0,2757748385290297;0,23496714583651984;0,19898226628846463;0,43573453316852256;0,8378324134470647;0,365634135228475;0,28658919308683417;0,945043621589021;0,9449842630290508;0,8734152744859864;0,9178401244018467;0,975275038565368;0,9431118956957366;0,9486853375058907;0,38389173002038135;0,33662561506606564;0,2946316632175886;0,5546504655976967;0,5970922334345101;0,4940033982447181;0,4268191293719642;0,7819375831703684;0,7812476948874585;0,8012935621241384;0,7702258784368426;0,75449760975172;0,7763018711832925;0,7702291531774804
autoencoder;kronodroid_real;0,6495;0,61095;0,5864499999999999;0,6205499999999999;0,51435;0,6582999999999999;0,69505;0,66075;0,76005;0,8006500000000001;0,6999000000000001;0,6275499999999999;0,74075;0,71865;1,0;0,9900193763649107;0,9760588905848484;0,9744239733840869;0,8;1,0;0,9890621373649584;0,6008109459632329;0,6874202614641748;0,7891678530362876;0,6379767663317246;0,5747114058684547;0,6653726941465468;0,6501125986219108;0,29686389167554283;0,22063986509407424;0,17308984265406405;0,24753417747858028;0,028670969051637924;0,31458627130332767;0,39443947481054037;0,9886869600029323;0,9634889246506215;0,8380450710274083;0,9394350905223355;0,9901584357565097;0,9727880488732203;0,9780295683014041;0,4005352038081539;0,3170778559259762;0,26383657458146653;0,3684075927886324;0,05386041181856351;0,433962775389152;0,523301520754756;0,7461010590743784;0,8013278668216138;0,8076190743674869;0,7590592460473955;0,7269821143443663;0,789852985131964;0,7788260293051226
